lemma,n,gold_k,grounded,q1_all,q1_nam,ctl_all,ctl_nam,ari_text_o,ari_merge_o,ari_text_u,ari_merge_u,gain_nam
officer,71,3,3,0.5352112676056338,0.7916666666666666,0.5633802816901409,0.8333333333333334,0.35162116582112146,0.06395459684749596,0.4728069466228998,0.0,0.04166666666666674
paper,62,3,4,0.12903225806451613,0.1951219512195122,0.016129032258064516,0.024390243902439025,0.4898978643196733,0.021405359504874506,0.3528188059080507,0.0,-0.17073170731707318
part,188,8,4,0.10638297872340426,0.13793103448275862,0.13457446808510637,0.17448275862068965,0.13189157457864348,-0.022203024065186476,0.05030607934956936,0.05030607934956936,0.036551724137931035
picture,71,4,4,0.2676056338028169,0.3877551020408163,0.14788732394366197,0.21428571428571427,0.23921722383175617,0.05372459219912146,0.27260172784789793,0.0,-0.17346938775510204
place,129,5,4,0.34108527131782945,0.5057471264367817,0.39534883720930225,0.5862068965517241,0.1693315909046832,0.0,0.19602676290952756,0.0,0.08045977011494243
plant,99,2,2,0.8888888888888888,0.8888888888888888,0.9595959595959597,0.9595959595959597,0.8430560621339225,0.8430560621339225,0.8430560621339225,0.8430560621339225,0.07070707070707083
point,118,5,4,0.11864406779661017,0.8235294117647058,0.1440677966101695,1.0,0.6838853150475147,0.0,0.6228070932497219,0.0,0.17647058823529416
position,76,5,4,0.3026315789473684,0.8518518518518519,0.35526315789473684,1.0,0.7527874165007151,0.0,0.7527874165007151,0.0,0.14814814814814814
product,81,3,2,0.2839506172839506,0.3150684931506849,0.2839506172839506,0.3150684931506849,0.44426809926408517,0.0,0.3493178553438582,0.0,0.0
property,56,2,2,0.4642857142857143,1.0,0.4642857142857143,1.0,0.9285654044024627,0.0,0.9285654044024627,0.0,0.0
range,52,2,2,0.0,,0.0,,-0.057866184448462935,0.0,0.13179203980674153,0.0,
section,95,4,2,0.14736842105263157,0.6666666666666666,0.11578947368421051,0.5238095238095238,0.6356897842370388,0.0,0.7392267349713794,0.0,-0.1428571428571428
side,129,5,4,0.09302325581395349,0.12371134020618557,0.03488372093023256,0.04639175257731959,0.26383117493753877,0.07010813973487237,0.27356175424165075,0.0,-0.07731958762886598
situation,83,2,2,0.0,0.0,0.0,0.0,0.0421907865008742,0.0,0.10068064116518094,0.0,0.0
space,43,3,2,0.13953488372093023,0.2857142857142857,0.20930232558139536,0.42857142857142855,0.2378678217783214,0.0,0.2224148533888902,0.0,0.14285714285714285
stage,57,3,2,0.2631578947368421,1.0,0.2631578947368421,1.0,0.45198845002830773,0.0,0.5012353304508956,0.0,0.0
state,190,4,2,0.010526315789473684,0.05405405405405406,0.0,0.0,0.3234001997608941,0.0,0.4021871006357475,0.0,-0.05405405405405406
study,100,2,2,0.0,,0.0,,0.5081974699730558,0.0,0.5081974699730558,0.0,
surface,136,3,3,0.4485294117647059,0.488,0.2647058823529412,0.2879999999999999,0.17483333831375672,0.0,0.35091007754116,-0.004459317601516504,-0.20000000000000007
system,98,5,2,0.4387755102040816,1.0,0.4387755102040816,1.0,0.2258101060029082,0.0,0.22411531009643854,0.0,0.0
table,77,2,4,0.2727272727272727,0.84,0.32467532467532473,1.0,1.0,0.0,1.0,0.0,0.16000000000000003
thing,264,9,2,0.11363636363636363,0.967741935483871,0.11742424242424243,1.0,0.09478994491262765,0.0,0.020866325982579165,0.0,0.032258064516129004
water,166,2,2,0.13253012048192772,0.55,0.0,0.0,-0.0316023067919232,0.0,-0.0316023067919232,0.0,-0.55
work,199,4,2,0.010050251256281407,0.02666666666666667,0.0,0.0,0.319696001506663,0.0,0.44361148503171244,0.0,-0.02666666666666667
yard,46,2,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
